smr_U	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
8	Ecuador	1.0180036858342918	0.8237510950472804	1.213126074159156	1611.4131298956847	1251.7996417761099	1948.087885829709	1582.9148286187901	1157.1521053138144	2131.2364795428543	1	1697.0988490657633	972.656809502824	2438.7076279544012	1	1	1	less_severe
8	Ecuador	1.169683572555826	0.9565986001250653	1.3735773772817819	1611.4131298956847	1251.7996417761099	1948.0878858297092	1377.6487656184265	1007.1076252039826	1843.2531792882278	1	2190.0584809107495	1406.0823678006739	2937.8976723581986	1	1	1	mixed
8	UK	0.24181464101704606	0.1632470371871257	0.3193075739420571	1301.8802256824888	1008.8549979852074	1585.8294184161264	5383.794050711414	3673.177984154033	8417.02224792342	1	4622.578479235139	2687.204403782674	6537.173835642423	1	1	1	severe
8	UK	0.09946596682306581	0.07951803861551172	0.12157493103785412	1301.8802256824888	1008.8549979852074	1585.8294184161264	13088.700258635472	9404.214624481443	17782.23465925774	1	1135.0359614826236	554.095141552993	1744.0021543853563	1	1	1	less_severe
8	UK	0.1189677351876411	0.09673843912437943	0.14174609480841463	1301.8802256824888	1008.8549979852074	1585.8294184161264	10943.137007938383	8043.473031635125	14645.069052758708	1	1612.8292864147184	978.2696839013306	2218.9927419341197	1	1	1	mixed
10	Nigeria	4.233839699853117	3.5624777878050162	4.888143214870229	2814.9922070386274	2206.125027068368	3407.270086321476	664.8792601043177	500.9463699966074	863.0083893879025	1	1418.8474928144901	520.1765450439916	2322.804717394997	0.999	1	1	severe
10	Nigeria	3.376132144103115	2.939340583931182	3.7775401053141513	2814.9922070386274	2206.125027068368	3407.270086321476	833.7920694115612	637.1532054070357	1046.6064680306238	1	561.1399370644872	-151.57206888938427	1295.0810554525212	0.933	1	1	less_severe
10	Nigeria	3.4936380792408652	3.051237144904017	3.8943214717084915	2814.9922070386274	2206.125027068368	3407.270086321476	805.7480892955857	617.3115410590817	1015.8716682278198	1	678.6458722022378	-52.45428819665267	1428.009389063993	0.963	1	1	mixed
10	Ecuador	2.4088464239121694	1.72286772818864	3.0128239820017586	1614.1752103680817	1255.0270281687153	1950.2537221579046	670.1029979929253	471.1381440816886	983.4414081029613	1	6214.575667346469	3944.1703121652336	8249.294329289794	1	1	1	severe
10	Ecuador	1.3179278923302677	1.1195069645481999	1.5206964232167806	1614.1752103680817	1255.0270281687153	1950.2537221579046	1224.7826453646187	913.1384552855625	1602.7173593973928	1	2669.0904397052886	1897.4028014601508	3428.179230561252	1	1	1	less_severe
10	Ecuador	1.4673837311569884	1.2471071960879438	1.6770576224923586	1614.1752103680817	1255.0270281687153	1950.2537221579046	1100.0361910073466	822.2733742035362	1437.199925273751	1	3154.8219158921306	2333.395824017684	3918.3799705502324	1	1	1	mixed
10	UK	0.2635371173594704	0.18518088591093404	0.3406944648506797	1303.1307860677223	1010.2746789443972	1586.8938335491512	4944.77134425897	3422.68690238976	7482.383731274917	1	5153.528589239302	3223.7919196967123	7068.247892069671	1	1	1	severe
10	UK	0.1223101963050487	0.10161487263284291	0.145033621714335	1303.1307860677223	1010.2746789443972	1586.8938335491512	10654.310314551689	7793.497312500696	14145.43139631448	1	1693.4690234059708	1087.6330888836687	2313.281447118779	1	1	1	less_severe
10	UK	0.14165828448950446	0.11881472642576874	0.16531005139550284	1303.1307860677223	1010.2746789443972	1586.8938335491512	9199.114550651444	6813.8864667167	12012.928386276104	1	2167.497183925137	1512.570680114086	2778.5774701365362	1	1	1	mixed
