scenario_id	group	label	country	daly_averted	da_lo	da_hi	incr_cost	ic_lo	ic_hi	icer	icer_lo	icer_hi	p_da_pos	inb_oc	inb_lo	inb_hi	p_ce_oc	p_ce_1x	p_ce_3x	severity
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	UK	0.2716478938105364	0.19593165317058672	0.34851866803676196	1307.3180886726234	1014.5575770930529	1591.0795556225276	4812.546382503616	3344.0954090121536	7206.4158201794025	1	5348.055309685518	3445.1771337774817	7284.758633659317	1	1	1	severe
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	UK	0.1304209727561147	0.11055688296203355	0.15157721990104225	1307.3180886726234	1014.5575770930529	1591.0795556225276	10023.833291883882	7285.171758625318	13112.209585587194	1	1887.9957438521867	1307.4908339263307	2501.3772535257103	1	1	1	less_severe
SMR-BEST	Untreated mortality	Best case: untreated 10.0, treated 1.84, seizure-free 0.68	UK	0.1497690609405705	0.1274410661084368	0.171995901618181	1307.3180886726234	1014.5575770930529	1591.0795556225276	8728.8928732175	6483.955521233627	11421.685569585235	1	2362.023904371353	1737.8656483396273	2989.2205444956917	1	1	1	mixed
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	Nigeria	1.2665467738167389	0.6255743288756518	1.859756152097984	2790.594649496085	2163.1364419368138	3382.485849172439	2203.3095872856143	1367.7636356707278	4452.497702108903	1	-1524.047875679346	-2431.257888003006	-622.6019577286125	0.001	0.36	0.997	severe
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	Nigeria	0.16718765020581852	0.03257282570231801	0.33655963162527935	2790.594649496085	2163.1364419368138	3382.485849172439	16691.39225331947	7738.797589342059	78884.59998930182	0.997	-2623.4069992902664	-3289.572930985289	-1960.7302428951932	0	0	0	less_severe
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	Nigeria	0.31779985014051465	0.15540023995857344	0.4905799302821836	2790.594649496085	2163.1364419368138	3382.485849172439	8780.981640684313	5274.0156614314365	18482.480645082214	1	-2472.7947993555704	-3151.220518247323	-1805.238761415168	0	0	0.084	mixed
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	Ecuador	1.2995795009035647	0.634530543029436	1.9127240792383937	1609.5415366357558	1245.9409996850095	1947.3599966051675	1238.5094836573542	762.218149142132	2511.213111884792	1	2614.0918413008294	445.46816027162384	4651.351566546499	0.995	0.999	1	severe
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	Ecuador	0.1415032244547627	0.027789342970859443	0.29037922167917213	1609.5415366357558	1245.9409996850095	1947.3599966051675	11374.592648595873	5059.845476718406	54889.371543955014	0.997	-1149.6560571577768	-1711.6172021439347	-552.4343627362565	0	0.094	0.773	less_severe
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	Ecuador	0.30015967432824864	0.1516232260104019	0.4583421889475283	1609.5415366357558	1245.9409996850095	1947.3599966051675	5362.284391592168	3289.183887757593	10489.374181500098	1	-634.0225950689477	-1259.0046155335099	-17.47728315012832	0.02	0.714	0.997	mixed
SMR-WORST	Untreated mortality	Worst case: untreated 2.0, treated 2.0, seizure-free 1.29	UK	0.1787768720856304	0.10114304186554285	0.2552287342770712	1300.5237965189049	1007.0388197427835	1585.341303357545	7274.563993355813	4608.5759686219835	13354.357084746074	1	3079.5095695790396	1190.4605324288584	5008.358190234122	1	1	1	severe
